label,volume,sphericity,theta,phi,elongation,centroid,closest_distance,closest_wall
34,1193.0,0.5855556094278107,-177.98026949166058,90.86645218905251,8.566618289637331,"(139.6035205364627, 136.97652975691534, 241.6756077116513)",2.358081068888884,membrane
35,83.0,0.4999782975605233,-174.439567988189,118.49783474643745,12.947588181093664,"(138.59036144578315, 458.7831325301205, 57.31325301204819)",53.2168674698795,top
36,90.0,0.6642533918777389,177.011217738295,100.29430683984745,3.844230811234078,"(147.24444444444444, 14.344444444444445, 168.9777777777778)",14.344444444444445,bottom
37,179.0,0.42313381248887016,178.37764911982404,92.7758588683987,37.159009202963674,"(153.27932960893855, 15.486033519553073, 223.49720670391062)",15.486033519553073,bottom
38,106.0,0.41854861312440683,94.63880690800018,87.27871986655958,67.65948274371289,"(145.81132075471697, 303.8301886792453, 245.12264150943398)",1.8944420403795348,membrane
39,308.0,0.6877076153746342,-129.28022356066757,111.27048238059179,4.385585935830293,"(149.0487012987013, 70.88636363636364, 226.9805194805195)",18.050328690330705,membrane
40,1061.0,0.44897092624297263,-104.6959688135067,91.19239290103931,34.754412887642225,"(156.1573986804901, 248.4750235626767, 243.813383600377)",2.243148013132075,membrane
41,915.0,0.4719630071403964,-179.01897834104236,117.63496709843082,22.143532168743576,"(167.15737704918033, 458.4448087431694, 107.01857923497268)",53.5551912568306,top
42,2363.0,0.24696687203180764,178.31321760156402,91.01421298411802,442.8869013270852,"(214.48666948793905, 451.8781210325857, 229.07955988150655)",20.927091949164385,membrane
43,839.0,0.6268753563728972,179.78718105774632,97.76684546942525,8.972985607445974,"(181.44696066746127, 14.851013110846246, 118.69606674612633)",14.851013110846246,bottom
44,435.0,0.5967456614952881,164.63151991563646,91.05847392046071,13.18577840418324,"(194.33563218390805, 215.71954022988507, 243.79770114942528)",2.245312199399126,membrane
45,113.0,0.6403136384535494,153.7437029585315,92.53647469528299,8.14064344327515,"(190.7787610619469, 244.47787610619469, 43.902654867256636)",43.902654867256636,left
46,2923.0,0.6343571033842625,-176.50064880953477,97.13334756342523,4.85051010546869,"(202.28908655490935, 19.728703386931237, 46.5603831679781)",19.728703386931237,bottom
47,84.0,0.685708827209232,-176.20652719348632,94.96418078891959,2.281293530310396,"(195.54761904761904, 14.464285714285714, 94.32142857142857)",14.464285714285714,bottom
